1	-8.2323e-15	
2	2.45518	
3	0.737401	
4	0.671804	
5	0.577892	
6	0.222645	
7	0.147477	
8	0.0838814	
9	0.0782604	
10	0.0612953	
11	0.0431782	
12	0.0381657	
13	0.0381342	
14	0.0275402	
15	0.0189809	
16	0.0204304	
17	0.0124033	
18	0.0111512	
19	0.00974406	
20	0.00807109	
21	0.00771719	
22	0.00643908	
23	0.00376694	
24	0.00427569	
25	0.00282123	
26	0.0032001	
27	0.00214254	
28	0.00151925	
29	0.00265011	
30	0.00167113	
31	0.000962834	
32	0.000875182	
33	0.000742406	
34	0.00073881	
35	0.00112743	
36	0.000570569	
37	0.000433479	
38	0.000336201	
39	0.000349034	
40	0.000306511	
